id,titulo,tipo,fonteTitulo,data_publicacao,volume,issue,paginas,paginasInicio,paginasFim,numeroPaginas,doi,autores,orcid_autores,departamento,origem,financiador,repositorioIPBeja,apoiosPublicacao
WOS:000864190600014,"Artificial intelligence, digital transformation and cybersecurity in the banking sector: A multi-stakeholder cognition-driven framework",Article,"RESEARCH IN INTERNATIONAL BUSINESS AND FINANCE",2022-04-01,60,,,,,15,10.1016/j.ribaf.2022.101616,"Ana Rita D. Rodrigues; Fernando A. F. Ferreira; Fernando J. C. S. N. Teixeira; Constantin Zopounidis",,,WOS,N/A,N/A,N/A
WOS:000881263000001,"Cardiometabolic Risk after SARS-CoV-2 Virus Infection: A Retrospective Exploratory Analysis",Article,"JOURNAL OF PERSONALIZED MEDICINE",2022-11-01,12,11,,,,11,10.3390/jpm12111758,"Rute Pires; Miguel Pedrosa; Maria Marques; Margarida Goes; Henrique Oliveira; Helder Godinho","0000-0001-7971-1689; 0000-0001-8687-4291","Ciências Empresariais",WOS,N/A,N/A,N/A
WOS:000882180900001,"A MULTICRITERIA EVALUATION SYSTEM FOR LARGE REAL ESTATE INVESTMENTS",Article,"INTERNATIONAL JOURNAL OF STRATEGIC PROPERTY MANAGEMENT",2022-01-01,26,4,305-317,305,317,13,10.3846/ijspm.2022.17922,"Rita S. B. S. Soares; Fernando A. F. Ferreira; Fernando J. C. S. N. Teixeira; Neuza C. M. Q. F. Ferreira",,,WOS,N/A,N/A,N/A
WOS:000895215300001,"Functional Profile of Older Adults Hospitalized in Rehabilitation Units of the National Network of Integrated Continuous Care of Portugal: A Longitudinal Study",Article,"JOURNAL OF PERSONALIZED MEDICINE",2022-11-01,12,11,,,,11,10.3390/jpm12111937,"Cesar Fonseca; Ana Ramos; Lara Guedes Pinho; Bruno Morgado; Henrique Oliveira; Manuel Lopes",0000-0001-8687-4291,Engenharia,WOS,N/A,N/A,N/A
WOS:000909124400001,"Automatic Rural Road Centerline Detection and Extraction from Aerial Images for a Forest Fire Decision Support System",Article,"REMOTE SENSING",2023-01-01,15,1,,,,20,10.3390/rs15010271,"Miguel Lourenco; Diogo Estima; Henrique Oliveira; Luis Oliveira; Andre Mora",0000-0001-8687-4291,Engenharia,WOS,N/A,N/A,N/A
WOS:000958826600001,"A Low-Cost Deep Learning System to Characterize Asphalt Surface Deterioration",Article,"REMOTE SENSING",2023-03-01,15,6,,,,21,10.3390/rs15061701,"Diogo Inacio; Henrique Oliveira; Pedro Oliveira; Paulo Correia",0000-0001-8687-4291,Engenharia,WOS,N/A,N/A,N/A
WOS:000992415900010,"A nursing care-sensitive patient satisfaction measure in older patients",Article,"SCIENTIFIC REPORTS",2023-05-10,13,1,,,,13,10.1038/s41598-023-33805-9,"Margarida Goes; Henrique Oliveira; Manuel Lopes; Cesar Fonseca; Lara Pinho; Maria Marques","0000-0001-8687-4291; 0000-0001-7971-1689",Engenharia,WOS,N/A,N/A,N/A
WOS:001045335000001,"Hyaluronic Acid as a Mechanism to Mitigate the Effects of Face Lower Third Aging in Dentistry: A Review",Review,"APPLIED SCIENCES-BASEL",2023-08-01,13,15,,,,19,10.3390/app13158657,"Helena Martins; Ines Carpinteiro; Paulo Mascarenhas; Margarida Goes; Henrique Oliveira",0000-0001-8687-4291,Engenharia,WOS,N/A,N/A,N/A
WOS:001057979700001,"A rapid literature review on the health-related outcomes of long-term person-centered care models in adults with chronic illness",Review,"FRONTIERS IN PUBLIC HEALTH",2023-08-21,11,,,,,14,10.3389/fpubh.2023.1213816,"Fatima Cano; Elisabete Alves; Ana Joao; Henrique Oliveira; Lara Guedes Pinho; Cesar Fonseca",0000-0001-8687-4291,Engenharia,WOS,N/A,N/A,N/A
WOS:001273045700001,"Self-care in the person with chronic disease: A protocol for a self-care intervention",Article,METHODSX,2024-12-01,13,,,,,6,10.1016/j.mex.2024.102829,"Maria Marques; Catarina Martins; Margarida Goes; Ana Escoval; Vanessa Nicolau; Lara Pinho; Henrique Oliveira; Isabel Bico; Susana Mendonca; Jose Moreira; Rute Pires; Miguel Pedrosa; Claudia Mendes; Cesar Fonseca","0000-0001-7971-1689; 0000-0001-8687-4291; 0000-0001-6306-8000","Ciências Empresariais",WOS,N/A,N/A,N/A
WOS:001285677900001,"Health-related outcomes of structured home-based rehabilitation programs among older adults: A systematic literature review",Article,HELIYON,2024-08-15,10,15,,,,10,10.1016/j.heliyon.2024.e35351,"Elisabete Alves; Catia Goncalves; Henrique Oliveira; Rita Ribeiro; Cesar Fonseca",0000-0001-8687-4291,Engenharia,WOS,N/A,N/A,N/A
